n_total,n_positifs,n_negatifs,TP,TN,FP,FN,sensibilite,specificite,accuracy,precision_PPV,npv,f1_score,auc_roc,kpi_sensibilite_85_atteint,kpi_specificite_75_atteint,kpi_auc_085_atteint,threshold,youden_j
455,243,212,243,0,212,0,1.0,0.0,0.5341,0.5341,,0.6963,0.7891,True,False,False,0.05,0.0
455,243,212,242,4,208,1,0.9959,0.0189,0.5407,0.5378,0.8,0.6984,0.7891,True,False,False,0.1,0.0148
455,243,212,242,12,200,1,0.9959,0.0566,0.5582,0.5475,0.9231,0.7066,0.7891,True,False,False,0.15,0.0525
455,243,212,240,24,188,3,0.9877,0.1132,0.5802,0.5607,0.8889,0.7154,0.7891,True,False,False,0.2,0.1009
455,243,212,238,41,171,5,0.9794,0.1934,0.6132,0.5819,0.8913,0.7301,0.7891,True,False,False,0.25,0.1728
455,243,212,234,48,164,9,0.963,0.2264,0.6198,0.5879,0.8421,0.7301,0.7891,True,False,False,0.3,0.1894
455,243,212,229,58,154,14,0.9424,0.2736,0.6308,0.5979,0.8056,0.7316,0.7891,True,False,False,0.35,0.216
455,243,212,221,72,140,22,0.9095,0.3396,0.644,0.6122,0.766,0.7318,0.7891,True,False,False,0.4,0.2491
455,243,212,215,83,129,28,0.8848,0.3915,0.6549,0.625,0.7477,0.7325,0.7891,True,False,False,0.45,0.2763
455,243,212,207,100,112,36,0.8519,0.4717,0.6747,0.6489,0.7353,0.7367,0.7891,True,False,False,0.5,0.3236
455,243,212,196,110,102,47,0.8066,0.5189,0.6725,0.6577,0.7006,0.7246,0.7891,False,False,False,0.55,0.3255
455,243,212,188,130,82,55,0.7737,0.6132,0.6989,0.6963,0.7027,0.7329,0.7891,False,False,False,0.6,0.3869
455,243,212,178,145,67,65,0.7325,0.684,0.7099,0.7265,0.6905,0.7295,0.7891,False,False,False,0.65,0.4165
455,243,212,164,155,57,79,0.6749,0.7311,0.7011,0.7421,0.6624,0.7069,0.7891,False,False,False,0.7,0.406
455,243,212,156,171,41,87,0.642,0.8066,0.7187,0.7919,0.6628,0.7091,0.7891,False,True,False,0.75,0.4486
455,243,212,140,185,27,103,0.5761,0.8726,0.7143,0.8383,0.6424,0.6829,0.7891,False,True,False,0.8,0.4487
455,243,212,120,191,21,123,0.4938,0.9009,0.6835,0.8511,0.6083,0.625,0.7891,False,True,False,0.85,0.3947
455,243,212,90,205,7,153,0.3704,0.967,0.6484,0.9278,0.5726,0.5294,0.7891,False,True,False,0.9,0.3374
455,243,212,52,209,3,191,0.214,0.9858,0.5736,0.9455,0.5225,0.349,0.7891,False,True,False,0.95,0.1998
